id,Formula,Tag,Location start,Location end,history
0,"\mathcal{T}(\mathbf{x})=\mathbf{U}^{\top}\mathbf{x},",1.0,18197,18261,[]
1,\mathcal{T}^{-1}(\mathbf{x})=\mathbf{U}\mathbf{x}.,,18262,18316,[]
2,\mathbf{g}\star\mathbf{x} =\mathcal{T}^{-1}(\mathcal{T}(\mathbf{g})\odot\mathcal{T}( \mathbf{x})),2.0,18895,19004,[]
3,"=\mathbf{U}(\mathbf{U}^{\top}\mathbf{g}\odot\mathbf{U}^{\top} \mathbf{x}),",,19005,19083,[]
4,"G=(V,E)",,7590,7601,[]
5,|V|=N,,7609,7618,[]
6,|E|=N^{*},,7659,7672,[]
7,"\mathbf{A}\in\mathbb{R}^{N,N}",,7697,7730,[]
8,\mathbf{h}_{v},,7798,7816,[]
9,\mathbf{o}_{v},,7821,7839,[]
10,v,,7886,7891,[]
11,O(n^{2}),,10866,10878,[]
12,\mathbf{g}^{n},,13316,13334,[]
13,m,,13337,13342,[]
14,"\alpha,\mathbf{n},\mathbf{A}",,13374,13406,[]
15,\mathbf{A}^{r},,13438,13456,[]
16,\mathbf{l}_{v},,13479,13497,[]
17,N,,13529,13534,[]
18,\mathbf{g}_{v},,13538,13556,[]
19,\mathbf{g}_{v},,13580,13598,[]
20,\mathbf{s},,13603,13617,[]
21,"N,N^{r}",,13621,13632,[]
22,N^{r},,13667,13676,[]
23,"\cdot,r",,13711,13722,[]
24,\mathbf{s}^{r},,13753,13771,[]
25,a,,13781,13786,[]
26,v,,13795,13800,[]
27,t,,13814,13819,[]
28,\mathbf{h}_{v},,13823,13841,[]
29,v,,13865,13870,[]
30,\mathbf{h}^{r}_{i},,13874,13896,[]
31,v,,13920,13925,[]
32,t,,13939,13944,[]
33,\mathbf{o}^{r}_{i},,13948,13970,[]
34,v,,13988,13993,[]
35,t,,14007,14012,[]
36,\mathbf{e}_{vw},,14016,14035,[]
37,v,,14065,14070,[]
38,w,,14074,14079,[]
39,\mathbf{n}_{v},,14083,14101,[]
40,k,,14132,14137,[]
41,\mathbf{W}^{r},,14141,14159,[]
42,\mathbf{U}^{r},,14160,14178,[]
43,\mathbf{W}^{r},,14212,14230,[]
44,\mathbf{U}^{r},,14231,14249,[]
45,\rho,,14282,14290,[]
46,\sigma,,14331,14341,[]
47,\odot,,14459,14468,[]
48,\parallel,,14512,14525,[]
49,\mathbf{x},,17882,17896,[]
50,\mathcal{T},,17974,17989,[]
51,\mathcal{T}^{-1},,18141,18161,[]
52,\mathbf{U},,18323,18337,[]
53,\mathbf{L}=\mathbf{I}_{\mathbf{N}}-\mathbf{D}^{-\frac{1}{2}}\mathbf{A}\mathbf{ D}^{-\frac{1}{2}},,18402,18502,"[{'attempt': 1, 'original': '\\mathbf{L}=\\mathbf{I}_{\\mathbf{N}}-\\mathbf{D}^{-\\frac{1}{2}}\\mathbf{A}\\mathbf{ D}^{-\\frac{1}{2}}', 'error': '""/tmp/tmp54g85dy9.tex"", line 1: possible unwanted space at ""{""', 'corrected': '\\mathbf{L}=\\mathbf{I}_{\\mathbf{N}}-\\mathbf{D}^{-\\frac{1}{2}}\\mathbf{A}\\mathbf{D}^{-\\frac{1}{2}}'}]"
54,\mathbf{D},,18504,18518,[]
55,\mathbf{A},,18544,18558,[]
56,\mathbf{L}=\mathbf{U}\mathbf{U}^{\top},,18697,18739,[]
57,\mathbf{A},,18747,18761,[]
